portion_param,start_amt,odds,sim_flips,sim_count,median_payout
0.005,100,0.6,100,1500,110.0
0.01,100,0.6,100,1500,122.0
0.015,100,0.6,100,1500,133.0
0.02,100,0.6,100,1500,146.0
0.025,100,0.6,100,1500,160.0
0.030000000000000002,100,0.6,100,1500,174.0
0.034999999999999996,100,0.6,100,1500,189.0
0.04,100,0.6,100,1500,206.0
0.045,100,0.6,100,1500,222.0
0.049999999999999996,100,0.6,100,1500,240.0
0.055,100,0.6,100,1500,258.0
0.06,100,0.6,100,1500,278.0
0.065,100,0.6,100,1500,297.0
0.07,100,0.6,100,1500,318.0
0.07500000000000001,100,0.6,100,1500,339.0
0.08,100,0.6,100,1500,361.0
0.085,100,0.6,100,1500,382.0
0.09000000000000001,100,0.6,100,1500,405.0
0.095,100,0.6,100,1500,427.0
0.1,100,0.6,100,1500,450.0
0.10500000000000001,100,0.6,100,1500,473.0
0.11,100,0.6,100,1500,495.0
0.115,100,0.6,100,1500,518.0
0.12000000000000001,100,0.6,100,1500,540.0
0.125,100,0.6,100,1500,562.0
0.13,100,0.6,100,1500,583.0
0.135,100,0.6,100,1500,603.0
0.14,100,0.6,100,1500,623.0
0.14500000000000002,100,0.6,100,1500,641.0
0.15,100,0.6,100,1500,659.0
0.155,100,0.6,100,1500,675.0
0.16,100,0.6,100,1500,690.0
0.165,100,0.6,100,1500,703.0
0.17,100,0.6,100,1500,715.0
0.17500000000000002,100,0.6,100,1500,725.0
0.18000000000000002,100,0.6,100,1500,734.0
0.185,100,0.6,100,1500,740.0
0.19,100,0.6,100,1500,745.0
0.195,100,0.6,100,1500,748.0
0.2,100,0.6,100,1500,749.0
0.20500000000000002,100,0.6,100,1500,748.0
0.21000000000000002,100,0.6,100,1500,745.0
0.215,100,0.6,100,1500,740.0
0.22,100,0.6,100,1500,733.0
0.225,100,0.6,100,1500,725.0
0.23,100,0.6,100,1500,714.0
0.23500000000000001,100,0.6,100,1500,702.0
0.24000000000000002,100,0.6,100,1500,688.0
0.245,100,0.6,100,1500,673.0
0.25,100,0.6,100,1500,656.0
0.255,100,0.6,100,1500,638.0
0.26,100,0.6,100,1500,619.0
0.265,100,0.6,100,1500,598.0
0.27,100,0.6,100,1500,577.0
0.275,100,0.6,100,1500,555.0
0.28,100,0.6,100,1500,532.0
0.28500000000000003,100,0.6,100,1500,509.0
0.29000000000000004,100,0.6,100,1500,485.0
0.295,100,0.6,100,1500,461.0
0.3,100,0.6,100,1500,437.0
0.305,100,0.6,100,1500,413.0
0.31,100,0.6,100,1500,389.0
0.315,100,0.6,100,1500,366.0
0.32,100,0.6,100,1500,343.0
0.325,100,0.6,100,1500,320.0
0.33,100,0.6,100,1500,298.0
0.335,100,0.6,100,1500,277.0
0.34,100,0.6,100,1500,256.0
0.34500000000000003,100,0.6,100,1500,236.0
0.35000000000000003,100,0.6,100,1500,217.0
0.35500000000000004,100,0.6,100,1500,199.0
0.36,100,0.6,100,1500,182.0
0.365,100,0.6,100,1500,166.0
0.37,100,0.6,100,1500,150.0
0.375,100,0.6,100,1500,136.0
0.38,100,0.6,100,1500,123.0
0.385,100,0.6,100,1500,110.0
0.39,100,0.6,100,1500,99.0
0.395,100,0.6,100,1500,88.0
0.4,100,0.6,100,1500,78.0
0.405,100,0.6,100,1500,69.0
0.41000000000000003,100,0.6,100,1500,61.0
0.41500000000000004,100,0.6,100,1500,54.0
0.42000000000000004,100,0.6,100,1500,47.0
0.425,100,0.6,100,1500,41.0
0.43,100,0.6,100,1500,36.0
0.435,100,0.6,100,1500,31.0
0.44,100,0.6,100,1500,27.0
0.445,100,0.6,100,1500,23.0
0.45,100,0.6,100,1500,20.0
0.455,100,0.6,100,1500,17.0
0.46,100,0.6,100,1500,14.0
0.465,100,0.6,100,1500,12.0
0.47000000000000003,100,0.6,100,1500,10.0
0.47500000000000003,100,0.6,100,1500,9.0
0.48000000000000004,100,0.6,100,1500,7.0
0.485,100,0.6,100,1500,6.0
0.49,100,0.6,100,1500,5.0
0.495,100,0.6,100,1500,4.0
0.5,100,0.6,100,1500,3.0
